Kanji,Meaning,Radicals,Sound
感心,admiration,Feeling + Heart,かんしん
心理,state of mind,Heart + Reason,しんり
心得る,to know,Heart + Acquire,こころえ
心身,mind and body,Heart + Body,しんしん
快い,pleasant,Pleasant,こころよ
心得,knowledge,Heart + Acquire,こころえ
試みる,to try,Try,こころ
好奇心,curiosity,Like + Odd + Heart,こうきしん
心理学,psychology,Heart + Reason + Study,しんりがく
心底,bottom of one's heart,Heart + Bottom,しんそこ
虚栄心,vanity,Void + Prosperity + Heart,きょえいしん
真髄,essence,Reality + Marrow,しんずい
傷心,heartbreak,Wound + Heart,しょうしん
心持ち,feeling,Heart + Hold,こころも
傷心,heartbreak,Wound + Heart,しょうしん
愛国心,patriotic feelings,Love + Country + Heart,あいこくしん
心配事,worries,Heart + Distribute + Action,しんぱいごと
父親,father,Father + Parent,ちちおや
お父さん,father,Father,とう
祖父,grandfather,Ancestor + Father,そふ
叔父,uncle,Uncle + Father,おじ
祖父母,grandparents,Ancestor + Father + Mother,そふぼ
先生,teacher,Previous + Life,せんせい
先輩,senior (at work or school),Previous + Comrade,せんぱい
先週,last week,Previous + Week,せんしゅう
先月,last month,Previous + Moon,せんげつ
先祖,ancestor,Previous + Ancestor,せんぞ
先日,the other day,Previous + Sun,せんじつ
先ず,first (of all),Previous,ま
先端,pointed end,Previous + Edge,せんたん
先ほど,a short while ago,Previous,さき
優先,preference,Superior + Previous,ゆうせん
指先,fingertip,Finger + Previous,ゆびさき
先頃,recently,Previous + Approximate,さきごろ
鼻先,tip of nose,Nose + Previous,はなさき
時代,period,Time + Substitute,じだい
代わり,substitute,Substitute,か
替える,to replace,Replace,か
替わる,to succeed,Replace,か
代用,substitution,Substitute + Task,だいよう
１０代,the teens (10-19),Substitute,じゅうだい
近代的,modern,Near + Substitute + Target,きんだいてき
一代,generation,One + Substitute,いちだい
幼年時代,childhood,Infancy + Year + Time + Substitute,ようねんじだい
皮膚,skin,Skin + Skin,ひふ
皮肉,irony,Skin + Meat,ひにく
皮革,leather,Skin + Leather,ひかく
樹皮,"bark (of a tree, etc.)",Wood + Skin,じゅひ
皮膚病,skin disease,Skin + Skin + Sick,ひふびょう
皮膚科,dermatology,Skin + Skin + Science,ひふか
平和,peace,Peace + Peace,へいわ
平均,average,Peace + Equal,へいきん
平日,weekday,Peace + Sun,へいじつ
平ら,flat,Peace,たい
平気,cool,Peace + Energy,へいき
平凡,ordinary,Peace + Mediocre,へいぼん
太平洋,Pacific Ocean,Fat + Peace + Western Style,たいへいよう
平衡,even scale,Peace + Equilibrium,へいこう
並行,going side-by-side,Line Up + Go,へいこう
平仮名,hiragana,Peace + Temporary + Name,ひらがな
平静,calm,Peace + Quiet,へいせい
平穏,tranquil,Peace + Calm,へいおん
手のひら,palm (of the hand),Hand,て
灰皿,ashtray,Ashes + Plate,はいざら
皿洗い,washing-up,Plate + Wash,さらあら
小皿,small plate,Small + Plate,こざら
虫歯,tooth decay,Insect + Tooth,むしば
弱虫,coward,Weak + Insect,よわむし
毛虫,hairy caterpillar,Fur + Insect,けむし
泣き虫,crybaby,Cry + Insect,なむし
お礼,thanks,Thanks,れい
礼儀,manners,Thanks + Ceremony,れいぎ
失礼,discourtesy,Fault + Thanks,しつれい
巡礼,pilgrimage,Patrol + Thanks,じゅんれい
中央,centre,Middle + Center,ちゅうおう
凍る,to freeze,Frozen,こお
氷河,glacier,Ice + River,ひょうが
かき氷,shaved ice (usually served with flavored simple syrup),Ice,ごおり
村人,villager,Village + Person,むらびと
夏休み,summer vacation,Summer + Rest,なつやす
休む,to be absent,Rest,やす
休み,rest,Rest,やす
休暇,holiday,Rest + Spare Time,きゅうか
休憩,rest,Rest + Rest,きゅうけい
休日,holiday,Rest + Sun,きゅうじつ
春休み,spring break,Spring + Rest,はるやす
冬休み,winter vacation,Winter + Rest,ふゆやす
休止,pause,Rest + Stop,きゅうし
昼休み,lunch break,Noon + Rest,ひるやす
休学,temporary absence from school,Rest + Study,きゅうがく
休憩所,rest area,Rest + Rest + Place,きゅうけいじょ
無休,without a holiday,Nothing + Rest,むきゅう
赤ちゃん,baby,Red,あか
赤い,red,Red,あか
赤ん坊,baby,Red + Monk,あかぼう
赤痢,dysentery,Red + Diarrhea,せきり
申す,to say,Say Humbly,もう
申し込む,to apply for,Say Humbly + Crowded,もうこ
漢字,kanji,Chinese + Letter,かんじ
文字,letter (of an alphabet),Writing + Letter,もじ
数字,numeral,Count + Letter,すうじ
苗字,surname,Seedling + Letter,みょうじ
字幕,subtitles,Letter + Curtain,じまく
大文字,uppercase letter,Big + Writing + Letter,おおもじ
文字通り,literally,Writing + Letter + Pass Through,もじどお
誤字,misprint,Mistake + Letter,ごじ
顔文字,emoticon,Face + Writing + Letter,かおもじ
脱字,omitted character,Undress + Letter,だつじ
当て字,"kanji used as a phonetic symbol, instead of for the meaning",Correct + Letter,あじ
太字,boldface,Fat + Letter,ふとじ
仮名,kana,Temporary + Name,かな
絵文字,emoji,Drawing + Writing + Letter,えもじ
一文字,straight line,One + Writing + Letter,いちもんじ
留守,absence,Detain + Protect,るす
主語,subject,Master + Language,しゅご
主義,doctrine,Master + Righteousness,しゅぎ
主婦,housewife,Master + Wife,しゅふ
主催,sponsorship (i.e. conducting under one's auspices),Master + Sponsor,しゅさい
主観,subjectivity,Master + View,しゅかん
主に,mainly,Master,おも
主人,head (of a household),Master + Person,しゅじん
主将,commander-in-chief,Master + Commander,しゅしょう
飼い主,(pet) owner,Domesticate + Master,かぬし
首位,first place,Neck + Rank,しゅい
主宰,chairmanship,Master + Manager,しゅさい
主観的,subjective,Master + View + Target,しゅかんてき
１００万,"1,000,000",Ten Thousand,ひゃくまん
２００,200,,にひゃく
４００,400,,よんひゃく
３００,300,,さんびゃく
早い,fast,Early,はや
早口,fast-talking,Early + Mouth,はやくち
早速,at once,Early + Fast,さっそく
時期尚早,premature,Time + Period Of Time + Furthermore + Early,じきしょうそう
早く,early,Early,はや
早退,leaving early,Early + Retreat,そうたい
早々,early,Early + Repeater,はやばや
過去,the past,Surpass + Past,かこ
去年,last year,Past + Year,きょねん
撤去,removal,Withdrawal + Past,てっきょ
逝去,death,Die + Past,せいきょ
男性,man,Man + Gender,だんせい
男の子,boy,Man + Child,おとここ
男の人,man,Man + Person,おとこひと
男優,(male) actor,Man + Superior,だんゆう
写真,photograph,Copy + Reality,しゃしん
複写,copying,Duplicate + Copy,ふくしゃ
写す,to copy,Copy,うつ
写る,to be photographed,Copy,うつ
描写,depiction,Draw + Copy,びょうしゃ
自転車,bicycle,Self + Revolve + Car,じてんしゃ
電車,train,Electricity + Car,でんしゃ
自動車,car,Self + Move + Car,じどうしゃ
駐車場,parking lot,Resident + Car + Location,ちゅうしゃじょう
車庫,garage,Car + Storage,しゃこ
車輪,(vehicle) wheel,Car + Wheel,しゃりん
車掌,(train) conductor,Car + Manipulate,しゃしょう
汽車,train (esp. long distance train),Steam + Car,きしゃ
救急車,ambulance,Rescue + Hurry + Car,きゅうきゅうしゃ
戦車,tank (military vehicle),War + Car,せんしゃ
車椅子,wheelchair,Car + Chair + Child,くるまいす
車両,rolling stock,Car + Both,しゃりょう
車内,"inside a car (train, bus, etc.)",Car + Inside,しゃない
洗車,car washing,Wash + Car,せんしゃ
各駅停車,train that stops at every station,Each + Station + Halt + Car,かくえきていしゃ
降車,"alighting (from a train, bus, etc.)",Descend + Car,こうしゃ
降車,"alighting (from a train, bus, etc.)",Descend + Car,こうしゃ
空車,empty conveyance,Sky + Car,くうしゃ
花見,cherry blossom viewing,Flower + See,はなみ
現在,the present,Present Time + Exist,げんざい
発見,discovery,Departure + See,はっけん
見る,to see,See,み
見せる,to show,See,み
見物,sightseeing,See + Thing,けんぶつ
見える,to be seen,See,み
意見,opinion,Idea + See,いけん
偏見,prejudice,Biased + See,へんけん
見つける,to find,See,み
拝見,seeing,Worship + See,はいけん
見事,splendid,See + Action,みごと
見送る,to see (someone) off,See + Send,みおく
見直す,to look at again,See + Fix,みなお
惨め,miserable,Disaster,みじ
醜い,ugly,Ugly,みにく
見方,viewpoint,See + Direction,みかた
見渡す,to look out over,See + Transit,みわた
試みる,to try,Try,こころ
見逃す,to miss,See + Escape,みのが
お見舞い,calling on someone who is ill,See + Dance,みま
見つめる,to stare (at),See,み
見当たる,to be found,See + Correct,みあ
見極める,to watch to the end,See + Extreme,みきわ
見極める,to watch to the end,See + Extreme,みきわ
露見,"discovery (of a plot, misdeed, etc.)",Expose + See,ろけん
月見,moon viewing (esp. during the eight month of the lunar calendar),Moon + See,つきみ
見分ける,to distinguish,See + Part,みわ
見抜く,to see through,See + Extract,みぬ
見返す,to look (stare) back at (someone),See + Return,みかえ
花瓶,(flower) vase,Flower + Bottle,かびん
花見,cherry blossom viewing,Flower + See,はなみ
花火,fireworks,Flower + Fire,はなび
花壇,flower bed,Flower + Podium,かだん
華やか,bright and beautiful,Showy,はな
花粉症,hay fever,Flower + Powder + Symptom,かふんしょう
華道,flower arrangement,Showy + Road,かどう
華々しい,brilliant,Showy + Repeater,はなばな
華美,splendor,Showy + Beauty,かび
花婿,bridegroom,Flower + Groom,はなむこ
蓮華,lotus flower,Lotus + Showy,れんげ
雌花,female flower,Female + Flower,めばな
雌花,female flower,Female + Flower,めばな
花柳界,red-light district,Flower + Willow + World,かりゅうかい
打つ,to hit,Hit,う
一打,stroke,One + Hit,いちだ
耳打ち,whispering into a person's ear,Ear + Hit,みみう
塁打,base hit,Base + Hit,るいだ
博打,gambling,Exhibition + Hit,ばくち
本塁打,home run,Book + Base + Hit,ほんるいだ
殴打,hit,Assault + Hit,おうだ
犠打,sacrifice (bunt or fly),Sacrifice + Hit,ぎだ
名前,name,Name + Before,なまえ
署名,signature,Government Office + Name,しょめい
苗字,surname,Seedling + Letter,みょうじ
有名,famous,Have + Name,ゆうめい
名所,famous place,Name + Place,めいしょ
名刺,business card,Name + Stab,めいし
名物,famous product,Name + Thing,めいぶつ
名詞,noun,Name + Part Of Speech,めいし
名誉,honor,Name + Honor,めいよ
名人,master,Name + Person,めいじん
氏名,(full) name,Family Name + Name,しめい
名簿,register of names,Name + Record Book,めいぼ
姓名,(full) name,Surname + Name,せいめい
匿名,anonymity,Hide + Name,とくめい
振り仮名,furigana,Shake + Temporary + Name,ふがな
カタカナ,katakana,,
平仮名,hiragana,Peace + Temporary + Name,ひらがな
無名,nameless,Nothing + Name,むめい
名古屋,Nagoya (city),Name + Old + Roof,なごや
耳打ち,whispering into a person's ear,Ear + Hit,みみう
毛糸,knitting wool,Fur + Thread,けいと
絹糸,silk thread,Silk + Thread,きぬいと
信号,signal,Believe + Number,しんごう
番号,number,Number In A Series + Number,ばんごう
郵便番号,postal code,Mail + Convenience + Number In A Series + Number,ゆうびんばんごう
号室,suffix for room numbers,Number + Room,ごうしつ
番号札,numbered tag,Number In A Series + Number + Bill,ばんごうふだ
等号,equals sign,Equal + Number,とうごう
等号,equals sign,Equal + Number,とうごう
下町,"low-lying part of a city (usu. containing shops, factories, etc.)",Below + Town,したまち
町民,townsman,Town + Peoples,ちょうみん
不安,anxiety,Not + Relax,ふあん
不味い,bad(-tasting),Not + Flavor,まず
不便,inconvenience,Not + Convenience,ふべん
不足,insufficiency,Not + Foot,ふそく
不思議,wonderful,Not + Think + Deliberation,ふしぎ
不幸,unhappiness,Not + Happiness,ふこう
不自由,discomfort,Not + Self + Reason,ふじゆう
不正,injustice,Not + Correct,ふせい
不規則,irregular,Not + Standard + Rule,ふきそく
惨め,miserable,Disaster,みじ
ご無沙汰,not writing or contacting for a while,Nothing + Sand + Select,ぶさた
不潔,unclean,Not + Pure,ふけつ
不可欠,indispensable,Not + Possible + Lack,ふかけつ
不況,(economic) depression,Not + Condition,ふきょう
不明,unclear,Not + Bright,ふめい
不良,bad,Not + Good,ふりょう
不吉,ominous,Not + Good Luck,ふきつ
不祥事,scandal,Not + Auspicious + Action,ふしょうじ
不倫,adultery,Not + Ethics,ふりん
不眠症,sleeplessness,Not + Sleep + Symptom,ふみんしょう
不可能,impossible,Not + Possible + Ability,ふかのう
不愉快,unpleasant,Not + Pleasant + Pleasant,ふゆかい
不快,displeasure,Not + Pleasant,ふかい
不法,unlawful,Not + Method,ふほう
不完全,imperfect,Not + Perfect + All,ふかんぜん
不可分,atomic,Not + Possible + Part,ふかぶん
不穏,disquieting,Not + Calm,ふおん
不穏,disquieting,Not + Calm,ふおん
不信,distrust,Not + Believe,ふしん
不機嫌,pout,Not + Machine + Dislike,ふきげん
不純,impure,Not + Pure,ふじゅん
寝不足,lack of sleep,Lie Down + Not + Foot,ねぶそく
不健康,poor health,Not + Healthy + Health,ふけんこう
不朽,everlasting,Not + Rot,ふきゅう
富士山,Mount Fuji,Rich + Samurai + Mountain,ふじさん
不振,dullness,Not + Shake,ふしん
不合格,(examination) failure,Not + Suit + Status,ふごうかく
不明瞭,unclear,Not + Bright + Clear,ふめいりょう
仕事,work,Doing + Action,しごと
試合,match,Try + Suit,
仕方,way,Doing + Direction,しかた
奉仕,service,Dedicate + Doing,ほうし
幸せ,happiness,Happiness,しあわ
支度,preparation,Support + Degrees,したく
仕草,gesture,Doing + Grass,しぐさ
仕返し,payback,Doing + Return,しかえ
万年筆,fountain pen,Ten Thousand + Year + Writing Brush,まんねんひつ
少年,boy,Few + Year,しょうねん
青年,youth,Blue + Year,せいねん
今年,this year,Now + Year,ことし
去年,last year,Past + Year,きょねん
来年,next year,Come + Year,らいねん
毎年,every year,Every + Year,まいとし
再来年,year after next,Again + Come + Year,さらいねん
学年,academic year,Study + Year,がくねん
年齢,age,Year + Age,ねんれい
年中,whole year,Year + Middle,ねんじゅう
年頃,approximate age,Year + Approximate,としごろ
忘年会,year-end party,Forget + Year + Meet,ぼうねんかい
光年,light-year,Sunlight + Year,こうねん
昨年,last year,Previous + Year,さくねん
年上,older,Year + Above,としうえ
年下,younger,Year + Below,としした
近年,recent years,Near + Year,きんねん
新年,New Year,New + Year,しんねん
年配,(approximate) age,Year + Distribute,ねんぱい
年末,end-of-year,Year + End,ねんまつ
周年,whole year,Circumference + Year,しゅうねん
翌年,following year,The Following + Year,よくねん
１年生,first-year student,Year + Life,いちねんせい
年賀状,New Year's card,Year + Congratulations + Condition,ねんがじょう
年次,annual,Year + Next,ねんじ
年来,of long standing,Year + Come,ねんらい
年内,remainder of the year,Year + Inside,ねんない
年額,yearly amount,Year + Amount,ねんがく
何年,how many years,What + Year,なんねん
数年,several years,Count + Year,すうねん
幼年時代,childhood,Infancy + Year + Time + Substitute,ようねんじだい
世界,the world,World + World,せかい
世紀,century,World + Account,せいき
世の中,society,World + Middle,よなか
二世,nisei,Two + World,にせい
足跡,footprints,Foot + Traces,あしあと
足りる,to be sufficient,Foot,た
足す,to add (numbers),Foot,た
裸足,barefoot,Naked + Foot,はだし
満足,satisfaction,Full + Foot,まんぞく
不足,insufficiency,Not + Foot,ふそく
遠足,school trip,Far + Foot,えんそく
足し算,addition,Foot + Calculate,たざん
足首,ankle,Foot + Neck,あしくび
寝不足,lack of sleep,Lie Down + Not + Foot,ねぶそく
他人,another person,Other + Person,たにん
余所,another place,Surplus + Place,よそ
他動詞,transitive verb,Other + Move + Part Of Speech,たどうし
排他,exclusion,Reject + Other,はいた
病気,"illness (usu. excluding minor ailments, e.g. common cold)",Sick + Energy,びょうき
電気,electricity,Electricity + Energy,でんき
気分,feeling,Energy + Part,きぶん
天気予報,weather forecast,Heaven + Energy + Beforehand + News,てんきよほう
勇気,courage,Courage + Energy,ゆうき
気候,climate,Energy + Climate,きこう
天気,weather,Heaven + Energy,てんき
元気,lively,Origin + Energy,げんき
蒸気,steam,Steam + Energy,じょうき
吐き気,nausea,Throw Up + Energy,はけ
空気,air,Sky + Energy,くうき
気象,weather (conditions),Energy + Elephant,きしょう
人気,popularity,Person + Energy,にんき
気温,(air) temperature,Energy + Warm,きおん
陽気,cheerful,Sunshine + Energy,ようき
雰囲気,atmosphere,Atmosphere + Surround + Energy,ふんいき
活気,energy,Lively + Energy,かっき
大気,atmosphere,Big + Energy,たいき
機嫌,humour,Machine + Dislike,きげん
湿気,moisture,Damp + Energy,しっけ
気づく,to notice,Energy,き
気に入る,to like,Energy + Enter,きい
平気,cool,Peace + Energy,へいき
湯気,steam,Hot Water + Energy,ゆげ
本気,seriousness,Book + Energy,ほんき
浮気,extramarital sex,Float + Energy,うわき
根気,patience,Root + Energy,こんき
磁気,magnetism,Magnet + Energy,じき
無邪気,innocent,Nothing + Wicked + Energy,むじゃき
陰気,gloomy,Shade + Energy,いんき
気象庁,(Japanese) Meteorological Agency,Energy + Elephant + Agency,きしょうちょう
狂気,madness,Lunatic + Energy,きょうき
換気,ventilation,Exchange + Energy,かんき
気持ち,feeling,Energy + Hold,きも
気違い,madness,Energy + Different,きちが
悪気,ill will,Bad + Energy,わるぎ
呆気,being taken aback,Shock + Energy,
交差点,crossing,Mix + Distinction + Point,こうさてん
交番,police box,Mix + Number In A Series,こうばん
交通,traffic,Mix + Pass Through,こうつう
外交,diplomacy,Outside + Mix,がいこう
交渉,negotiations,Mix + Ford,こうしょう
混ぜる,to mix,Mix,ま
混ざる,to be mixed,Mix,ま
混じる,to be mixed,Mix,ま
交互,alternate,Mix + Mutual,こうご
交わる,to cross,Mix,まじ
外交官,diplomat,Outside + Mix + Government,がいこうかん
交通網,transportation network,Mix + Pass Through + Netting,こうつうもう
更迭,change (of personnel),Again + Alternate,こうてつ
多分,probably,Many + Part,たぶん
多い,many,Many,おお
大いに,very,Big,おお
多忙,being very busy,Many + Busy,たぼう
多額,large (amount of money),Many + Amount,たがく
故郷,hometown,Circumstance + Hometown,ふるさと
郷里,hometown,Hometown + Home Village,きょうり
里心,homesickness,Home Village + Heart,さとごころ
時計,clock,Time + Measure,
自転車,bicycle,Self + Revolve + Car,じてんしゃ
自動車,car,Self + Move + Car,じどうしゃ
自由,freedom,Self + Reason,じゆう
自然,nature,Self + Nature,しぜん
自殺,suicide,Self + Kill,じさつ
自分,myself,Self + Part,じぶん
自信,self-confidence,Self + Believe,じしん
自己,self,Self + Oneself,じこ
自慢,pride,Self + Ridicule,じまん
不自由,discomfort,Not + Self + Reason,ふじゆう
自動,automatic,Self + Move,じどう
各自,each (person),Each + Self,かくじ
自立,independence,Self + Stand,じりつ
自覚,self-consciousness,Self + Memorize,じかく
自在,being able to do as one pleases,Self + Exist,じざい
自動詞,intransitive verb,Self + Move + Part Of Speech,じどうし
自宅,one's home,Self + House,じたく
自動的,automatic,Self + Move + Target,じどうてき
自制,self-control,Self + Control,じせい
自民党,Liberal Democratic Party,Self + Peoples + Group,じみんとう
自粛,self-restraint,Self + Solemn,じしゅく
自炊,cooking for oneself,Self + Cook,じすい
私自身,myself,I + Self + Body,わたしじしん
自販機,vending machine,Self + Sell + Machine,じはんき
自己紹介,self-introduction,Self + Oneself + Introduce + Jammed In,じこしょうかい
自叙伝,autobiography,Self + Describe + Transmit,じじょでん
自叙伝,autobiography,Self + Describe + Transmit,じじょでん
自衛,self-defense,Self + Defense,じえい
自家製,homemade,Self + House + Manufacture,じかせい
自愛,taking care of oneself,Self + Love,じあい
電池,battery,Electricity + Pond,でんち
空港,airport,Sky + Harbor,くうこう
航空,aviation,Navigation + Sky,こうくう
開ける,"to open (a door, etc.)",Open,あ
空気,air,Sky + Energy,くうき
大空,wide open sky,Big + Sky,おおぞら
虚しい,empty,Void,むな
開く,to open (e.g. doors),Open,あ
空間,space,Sky + Interval,くうかん
空襲,air-raid,Sky + Attack,くうしゅう
航空券,airline ticket,Navigation + Sky + Ticket,こうくうけん
青空,blue sky,Blue + Sky,あおぞら
空席,empty seat,Sky + Seat,くうせき
空き缶,empty can,Sky + Can,あかん
空欄,blank column,Sky + Column,くうらん
弁当,bento,Dialect + Correct,べんとう
本当,truth,Book + Correct,ほんとう
適当,suitable,Suitable + Correct,てきとう
当てる,to hit,Correct,あ
担当,being in charge (of an area of responsibility),Carry + Correct,たんとう
当たる,to be hit,Correct,あ
当たり前,natural,Correct + Before,あまえ
当たり,hit,Correct,あ
該当,corresponding to,The Above + Correct,がいとう
当然,natural,Correct + Nature,とうぜん
見当たる,to be found,See + Correct,みあ
本当に,really,Book + Correct,ほんとう
穏当,proper,Calm + Correct,おんとう
牛肉,beef,Cow + Meat,ぎゅうにく
豚肉,pork,Pork + Meat,ぶたにく
筋肉,muscle,Muscle + Meat,きんにく
皮肉,irony,Skin + Meat,ひにく
鶏肉,chicken meat,Chicken + Meat,とりにく
焼肉,yakiniku,Bake + Meat,やきにく
肉屋,butcher's shop,Meat + Roof,にくや
脂身,fat (of meat),Fat + Body,あぶらみ
脂身,fat (of meat),Fat + Body,あぶらみ
鯨肉,whale meat,Whale + Meat,げいにく
小麦粉,wheat flour,Small + Wheat + Powder,こむぎこ
麦畑,wheat field,Wheat + Field,むぎばたけ
牧草,pasture,Pasture + Grass,ぼくそう
草地,grassland,Grass + Earth,くさち
仕草,gesture,Doing + Grass,しぐさ
草稿,notes,Grass + Draft,そうこう
草稿,notes,Grass + Draft,そうこう
草刈り,mowing,Grass + Prune,くさか
芝草,lawn,Lawn + Grass,しばくさ
販売,sale,Sell + Sell,はんばい
売る,to sell,Sell,う
商売,trade,Merchandise + Sell,しょうばい
売れる,to sell (well),Sell,う
売り上げ,amount sold,Sell + Above,うあ
発売,sale,Departure + Sell,はつばい
売り切れ,sold-out,Sell + Cut,うき
購買,procurement,Subscription + Buy,こうばい
卸売,wholesale,Wholesale + Sell,おろしうり
安売り,bargain sale,Relax + Sell,やすう
売り手,seller,Sell + Hand,うて
前売り券,ticket sold in advance,Before + Sell + Ticket,まえうけん
発売中,on sale,Departure + Sell + Middle,はつばいちゅう
葉書,postcard,Leaf + Write,はがき
西洋,the West,West + Western Style,せいよう
西暦,Common Era,West + Calendar,せいれき
関西,"Kansai (region comprising Kyoto, Osaka, Kobe and surrounding prefectures)",Related + West,かんさい
西瓜,watermelon (Citrullus lanatus),West + Melon,すいか
西側,west side,West + Side,にしがわ
北西,northwest,North + West,ほくせい
叫び声,shout,Shout + Voice,さけごえ
小声,low voice,Small + Voice,こごえ
鳴き声,cry (of an animal),Chirp + Voice,なごえ
大声,loud voice,Big + Voice,おおごえ
泣き声,cry (e.g. of a baby),Cry + Voice,なごえ
金曜日,Friday,Gold + Weekday + Sun,きんようび
金属,metal,Gold + Belong,きんぞく
奨学金,scholarship,Encourage + Study + Gold,しょうがくきん
金庫,safe,Gold + Storage,きんこ
お金,money,Gold,かね
預金,deposit,Deposit + Gold,よきん
借金,debt,Borrow + Gold,しゃっきん
貯金,putting money aside,Savings + Gold,ちょきん
料金,fee,Fee + Gold,りょうきん
税金,tax,Tax + Gold,ぜいきん
賞金,prize money,Prize + Gold,しょうきん
金魚,goldfish (Carassius auratus),Gold + Fish,きんぎょ
針金,wire,Needle + Gold,はりがね
資金,funds,Resources + Gold,しきん
募金,fundraising,Recruit + Gold,ぼきん
罰金,fine,Penalty + Gold,ばっきん
敷金,(security) deposit,Spread + Gold,しききん
金髪,blond hair,Gold + Hair,きんぱつ
錬金術,alchemy,Tempering + Gold + Art,れんきんじゅつ
金持ち,rich person,Gold + Hold,かねも
献金,donation,Offer + Gold,けんきん
集金,money collection,Collect + Gold,しゅうきん
貯金箱,savings box,Savings + Gold + Box,ちょきんばこ
金星,Venus (planet),Gold + Star,きんせい
峡谷,gorge,Ravine + Valley,きょうこく
渓谷,valley (with a river running through it),Valley + Valley,けいこく
走る,to run,Run,はし
走行,"running (of a car, bus, etc.)",Run + Go,そうこう
脱走,escape,Undress + Run,だっそう
暴走,acting rashly,Violence + Run,ぼうそう
走り回る,to run around,Run + Times,はしまわ
帆走,sailing,Sail + Run,はんそう
疾走,sprint,Rapid + Run,しっそう
暴走族,young motorcycle-riding delinquents,Violence + Run + Tribe,ぼうそうぞく
奔走,running about,Run + Run,ほんそう
雷雨,thunderstorm,Thunder + Rain,らいう
図書館,library,Diagram + Write + Public Building,としょかん
地図,map,Earth + Diagram,ちず
合図,sign,Suit + Diagram,あいず
図る,to plan,Diagram,はか
意図的,intentional,Idea + Diagram + Target,いとてき
略図,rough sketch,Abbreviation + Diagram,りゃくず
図説,illustration,Diagram + Theory,ずせつ
人形,doll,Person + Shape,にんぎょう
形容詞,adjective,Shape + Form + Part Of Speech,けいようし
仕方,way,Doing + Direction,しかた
髪型,hair style,Hair + Model,かみがた
三角形,triangle,Three + Angle + Shape,さんかくけい
形容動詞,adjectival noun (in Japanese),Shape + Form + Move + Part Of Speech,けいようどうし
複数形,plural form,Duplicate + Count + Shape,ふくすうけい
過去形,past tense,Surpass + Past + Shape,かこけい
辞書形,dictionary form,Quit + Write + Shape,じしょけい
観光,sightseeing,View + Sunlight,かんこう
光る,to shine,Sunlight,ひか
光景,scene,Sunlight + Scene,こうけい
日光,sunlight,Sun + Sunlight,にっこう
日光浴,sunbathing,Sun + Sunlight + Bathe,にっこうよく
光年,light-year,Sunlight + Year,こうねん
光栄,honour,Sunlight + Prosperity,こうえい
栄光,glory,Prosperity + Sunlight,えいこう
月光,moonlight,Moon + Sunlight,げっこう
観光客,tourist,View + Sunlight + Guest,かんこうきゃく
周り,circumference,Circumference,まわ
回転,rotation,Times + Revolve,かいてん
回る,to turn,Times,まわ
回復,restoration,Times + Restore,かいふく
今回,this time,Now + Times,こんかい
回す,to turn,Times,まわ
巡る,to go around,Patrol,めぐ
回数券,coupon tickets,Times + Count + Ticket,かいすうけん
何回,how many times,What + Times,なんかい
次回,next time (occasion),Next + Times,じかい
回想,recollection,Times + Concept,かいそう
前回,previous time,Before + Times,ぜんかい
毎回,every time,Every + Times,まいかい
巡回,going around,Patrol + Times,じゅんかい
撤回,withdrawal,Withdrawal + Times,てっかい
走り回る,to run around,Run + Times,はしまわ
旋回,revolution,Rotation + Times,せんかい
駆け回る,to run around,Gallop + Times,かまわ
先回り,going on ahead,Previous + Times,さきまわ
一回,once,One + Times,いっかい
茶色,brown,Tea + Color,ちゃいろ
黄色,yellow,Yellow + Color,きいろ
色々,various,Color + Repeater,いろいろ
灰色,grey,Ashes + Color,はいいろ
景色,scenery,Scene + Color,けしき
色彩,colour,Color + Coloring,しきさい
銀色,"silver (color, colour)",Silver + Color,ぎんいろ
水色,light blue,Water + Color,みずいろ
桃色,"pink (colour, color)",Peach + Color,ももいろ
緑色,green,Green + Color,みどりいろ
色盲,color-blindness,Color + Blind,しきもう
彩り,coloring,Coloring,いろど
彩る,to colour,Coloring,いろど
紫色,purple,Purple + Color,むらさきいろ
肌色,flesh colour (of a Japanese person),Skin + Color,はだいろ
相撲,sumo (wrestling),Mutual + Slap,すもう
角度,angle,Angle + Degrees,かくど
折角,with trouble,Fold + Angle,せっかく
四角,quadrilateral,Four + Angle,しかく
三角,triangle,Three + Angle,さんかく
三角形,triangle,Three + Angle + Shape,さんかくけい
角膜,cornea,Angle + Membrane,かくまく
音楽,music,Sound + Comfort,おんがく
発音,pronunciation,Departure + Sound,はつおん
騒音,noise,Boisterous + Sound,そうおん
録音,(audio) recording,Record + Sound,ろくおん
雑音,noise (usu. unpleasant),Random + Sound,ざつおん
超音速,supersonic speed,Ultra + Sound + Fast,ちょうおんそく
音痴,tone deafness,Sound + Stupid,おんち
方向音痴,(person with) no sense of direction,Direction + Yonder + Sound + Stupid,ほうこうおんち
超音波,ultrasonic waves,Ultra + Sound + Wave,ちょうおんぱ
音読み,on reading,Sound + Read,おんよ
音訓,kanji readings,Sound + Instruction,おんくん
南米,South America,South + Rice,なんべい
欧米,Europe and the United States,Europe + Rice,おうべい
玄米,unpolished rice,Mysterious + Rice,げんまい
米国,(United States of) America,Rice + Country,べいこく
全米,all-America,All + Rice,ぜんべい
旅行,travel,Trip + Go,りょこう
飛行機,airplane,Fly + Go + Machine,ひこうき
